Nhood,Label,Avg_Need_ZScore,Level of Need,Socioeconomic Class,College Student Enrollment,College_Enrollment_Rate,Family Poverty Rate,Unemploy_Rate,Lack_of_Educ_Attain_Rate,Single_Parent_Rate,Avg_Homicide_Rate,Homicides,Avg_Homicides,WA_Med_HH_Income,WA_Med_Home_Value,WA_Med_Contract_Rent,Total_Pop,Hispanic_Latino_Rate,NH_White_Rate,NH_Black_Rate,NH_AmericanIndian_Rate,NH_Asian_Rate,NH_PI_Rate,NH_Other_Rate,NH_Biracial_Rate,Total_Housing_Units,Occupied_Units_Rate,Vacant_Unit_Rate,Shape__Area,Shape__Length,x,y
Lincoln Place,Lincoln Place,0.0260595670356735,Moderate Need,Middle,Not Significant,1.11768573307035,11.2529002320186,5.49408622663106,84.3310566492567,10.4408352668213,6.3391442155309,1,0.2,62588.511251981,90809.286846,532.368421052632,3155,2.06022187004754,87.1632329635499,5.2931854199683,0.063391442155309,1.10935023771791,0,0.158478605388273,4.15213946117274,1563,90.467050543826,9.53294945617402,4392804.484375,11011.5039349395,,
Lower Lawrenceville,Lower Lawrenceville,-1.11803106253588,Very Low Need,Upper-middle,Not Significant,17.4988753936122,0,0.270880361173815,32.8380386329866,0,0,0,0,80228.4403634987,281450.62476,1122.54676258993,2641,2.80196895115487,79.8939795531995,7.00492237788716,0.11359333585763,5.41461567588035,0,0.530102234002272,4.24081787201817,1705,89.0909090909091,10.9090909090909,1925745.87109375,6171.23661707618,,
Manchester,Manchester,0.34293432749375,High Need,Working,Not Significant,9.1897233201581,18.8976377952756,5.49943883277217,59.3272171253823,34.3832020997375,29.5420974889217,3,0.6,43811.1674052191,208646.57804,718,2031,2.56031511570655,29.1974396848843,61.7922205809946,0.295420974889217,1.28015755785327,0,0.738552437223043,4.13589364844904,1221,88.3701883701884,11.6298116298116,1250817.87109375,5020.4355724277,,
Marshall-Shadeland,Marshall-Shadeland (Brightwood),0.176224404521919,High Need,Working,Not Significant,4.43666082895505,16.9092945128779,2.26575407127685,87.5096974398759,22.060470324748,29.6589223924864,6,1.2,39374.6534849234,58027.745665,735.770915728628,4046,2.42214532871972,41.6707859614434,47.0588235294118,0.173010380622837,1.4087988136431,0.074147305981216,0.889767671774592,6.30252100840336,2064,84.1569767441861,15.843023255814,5616698.77734375,20201.1046760078,,
Middle Hill,Middle Hill,0.988960353297817,Extreme Need,Working,Not Significant,4.5611610228058,31.8407960199005,0,93.1902985074627,57.2139303482587,79.6812749003984,7,1.4,32825.6163915766,126598.74787,590,1757,1.30904951622083,4.61013090495162,90.8935685828116,0,0.284575981787137,0,0.22766078542971,2.67501422879909,1093,84.7209515096066,15.2790484903934,1367801.24609375,5818.39338551473,,
Morningside,Morningside,-0.651092941614699,Low Need,Middle,Not Significant,7.7720207253886,1.83066361556064,1.94102276969018,47.5390156062425,15.675057208238,0,0,0,68207.1921894219,182118.54244,866.020545239036,3252,3.01353013530135,80.8118081180812,9.68634686346864,0.0922509225092251,1.5990159901599,0,0.43050430504305,4.36654366543665,1688,92.1800947867299,7.81990521327014,1712436.14453125,10836.356098076,,
Mount Washington,Mount Washington,-0.2775906114851,Moderate Need,Middle,Not Significant,8.41578111640406,10.3471749489449,3.96950578338591,51.7797383632492,17.358747447243,9.18484500574053,4,0.8,57036.1492537313,121445.22395,880.146268656716,8710,3.05396096440873,80.6084959816303,10.2985074626866,0.0918484500574053,1.03329506314581,0.0918484500574053,0.321469575200919,4.50057405281286,5364,88.6651752423565,11.3348247576435,5098584.59765625,13622.7136276846,,
North Oakland,North Oakland,-0.871434772808492,Very Low Need,Working,Significant Enrollment,70.6358894684275,8.42105263157895,3.20035559506612,23.6389684813754,0,0,0,0,32197.8890456871,305364.50873,873.944258246604,10691,3.10541577027406,65.7375362454401,8.9888691422692,0.430268450098213,17.2107380039285,0,1.96426901131793,2.56290337667197,3534,93.010752688172,6.98924731182796,2233236.1171875,8399.08147281547,,
North Shore,North Shore,-0.821101369571051,Very Low Need,Upper-middle,Not Significant,3.81944444444444,0,0,25.2707581227437,0,66.4451827242525,1,0.2,81598,Insufficient Data,1630,301,3.65448504983389,82.0598006644518,2.99003322259136,0,4.98338870431894,0,0.332225913621262,5.98006644518272,233,91.8454935622318,8.15450643776824,1359430.14453125,7212.0907819553,,
Northview Heights,Northview Heights,1.4416472812986,Extreme Need,Lower,Not Significant,2.69086357947434,72.4324324324324,3.41555977229602,95.3781512605042,48.6486486486487,33.9174674957603,3,0.6,16318,Insufficient Data,530,1769,1.63934426229508,3.8439796495195,90.8422837761447,0.169587337478802,0.113058224985868,0,0.565291124929339,2.82645562464669,564,92.5531914893617,7.4468085106383,1402920.98046875,5517.33313904519,,
Oakwood,Oakwood,-0.353454096992746,Low Need,Middle,Not Significant,7.5,8.94941634241245,3.82830626450116,57.8163771712159,13.6186770428016,0,0,0,52500,132300,609,1025,2.53658536585366,72.4878048780488,7.12195121951219,0.0975609756097561,10.7317073170732,0,0.390243902439024,6.63414634146342,560,95.8928571428572,4.10714285714286,1121655.26953125,6342.612935388,,
Overbrook,Overbrook,-0.14125964164536,Moderate Need,Middle,Not Significant,4.14356580099212,9.90566037735849,3.55048859934853,84.2592592592593,12.7358490566038,0,0,0,55478.7525122021,98158.799885,758.209015216767,3483,3.15819695664657,84.8119437266724,5.71346540338788,0.172265288544358,1.09101349411427,0,0.689061154177433,4.36405397645708,1673,91.8708906156605,8.12910938433951,3749044.328125,12819.8913738323,,
Perry North,Perry North (Observatory Hill),-0.027213515106007,Moderate Need,Middle,Not Significant,5.47581073896863,8.7378640776699,6.37162586315129,69.5073235685752,12.2330097087379,10.6439595529537,2,0.4,60836.2707610147,102680.98798,715.455540720961,3758,3.51250665247472,56.4928153273018,33.5816923895689,0,0.931346460883449,0.0266098988823842,0.478978179882916,4.97605109100585,1836,88.2897603485839,11.7102396514161,5566190.1328125,12566.9128883622,,
Perry South,Perry South (Perry Hilltop),0.344434430976141,High Need,Working,Not Significant,9.77886977886978,17.1052631578947,3.52133691435392,66.2042389210019,29.7368421052632,58.4329349269588,11,2.2,40660.5081081081,92159.762574,656.910756972112,3765,3.45285524568393,27.4900398406374,63.2934926958831,0.239043824701195,0.424966799468792,0.0531208499335989,1.00929614873838,4.03718459495352,2076,81.7919075144509,18.2080924855491,4053648.5625,10578.7420342531,,
