Neighborhood Name,Level of Disadvantage,Total Population,Percent White Alone,Percent Black Alone,Percent Asian Alone,Percent Latino Alone,Percent Biracial or Other,Family Poverty Rate,Single Mother Rate,Male Uneml/Unattach Rate,Percent of 25 and up w/o Bachelor or more,Median Home Value,Median Gross Rent,Percent w/o Internet Access,Percent w/o Vehicle,Average Child to Adult Income Rank Outcome,Average Dispatches for Shots Fired/Reported,Disadvantage Z Score
California-Kirkbride,Extreme Disadvantage,608,24.0131578947368,66.1184210526316,2.96052631578947,2.96052631578947,3.94736842105263,38,50,33.9869281045752,82.7930174563591,55800,591,36.9175627240143,52.3297491039427,20781.996,7.73026315789474,1.07400413241473
Carrick,Moderate Disadvantage,10822,73.9696913694326,15.4500092404361,6.3666605063759,1.8111254851229,2.40251339863242,15.3766653831344,21.6403542549095,29.2929292929293,80.7033599163289,72521.3638883755,773.371927554981,16.1902683831551,20.9687977307441,33335.4976837923,0.885684960863141,-0.0903392119965394
Central Business District,Low Disadvantage,5101,77.0241129190355,7.07704371691825,8.90021564399138,4.48931582042737,2.50931189962753,11.3,3.75521557719054,19.887323943662,26.0006018657839,339600,1531,7.51789976133652,32.0206841686555,29397.398,1.23505195059792,-0.71178314203456
Central Lawrenceville,Low Disadvantage,4660,91.6738197424893,2.18884120171674,2.72532188841202,2.03862660944206,1.37339055793991,7.33956043956044,6.22710622710623,13.7073452862927,46.3750307200786,233250,1008.74678111588,20.7980652962515,23.4985892785167,31543.8937703863,0.43996021293448,-0.722881304903818
Central Northside,Moderate Disadvantage,2733,61.2147822905232,30.1866081229418,2.30515916575192,4.39077936333699,1.90267105744601,12.692789373814,12.9032258064516,18.3729433272395,48.6581610206775,281192.938163191,896.402854006586,18.0091683038638,31.3686967910936,23049.9809074277,3.81253155420817,-0.198538710699033
Central Oakland,Moderate Disadvantage,5498,85.3583121134958,3.47399054201528,5.92942888323027,2.7646416878865,2.47362677337213,22.9208333333333,3.47222222222222,47.3367299675776,62.9508196721311,121335.121862495,1108.17242633685,9.87951807228916,35.2289156626506,26206.145,0.229432945688376,0.00901952393105378
"Chartiers City-Fairywood-Windgap
",Moderate Disadvantage,3113,61.0343719884356,34.8859620944427,0,1.6061676839062,2.47349823321555,11.9,17.2455089820359,18.6629526462396,67.779632721202,83900,1056,10.7302533532042,5.66318926974665,26447.145,3.3408287825249,-0.118129762998146
Crafton Heights,High Disadvantage,4130,60.1210653753027,29.0314769975787,3.36561743341404,1.98547215496368,5.49636803874092,27.569168356998,31.0344827586207,18.5218165627783,75.0833024805628,87465.3268765133,570.926392251816,17.6305446378439,22.4592925322852,28622.7999966102,2.62262193012798,0.170701251713356
Crawford-Roberts,Extreme Disadvantage,2249,9.60426856380614,76.2561138283682,1.37839039573144,6.31391729657626,6.44730991551801,32.6,48.2546201232033,61.6379310344828,80.0498753117207,136100,773,39.1571553994732,41.2642669007902,20766.496,5.29124055135616,1.16412089399216
Duquesne Heights,Low Disadvantage,2586,93.6581593194122,2.16550657385924,2.24284609435422,0.618716163959783,1.31477184841454,9,8.95522388059701,15.7366071428571,59.2680608365019,140000,1062,19.8461538461538,10.5384615384615,36420.75,1.12142304717711,-0.654181823381409
"East Allegheny-North Shore
",Moderate Disadvantage,2083,74.4119059049448,18.2429188670187,0.768122899663946,4.17666826692271,2.40038406144983,18.7,10.3806228373702,26.4765784114053,57.6987215119511,199100,845,24.4055944055944,40.1398601398601,26918.707,5.28084493518963,-0.0484412269094808
"East Carnegie-Oakwood
",Moderate Disadvantage,1502,89.0146471371505,4.12782956058589,0.266311584553928,4.99334221038615,1.59786950732357,20.3,9.06666666666667,16.4969450101833,70.7894736842105,93400,773,22.9139072847682,12.317880794702,33749.363,1.26498002663116,-0.362045100656493
East Hills,Extreme Disadvantage,2761,11.6262223831945,85.2589641434263,0,0,3.11481347337921,35.8,48.5265225933202,46.5331278890601,84.5814977973568,60200,568,34.8598769651401,50.0341763499658,22229.654,14.1615356754799,1.37581340187023
East Liberty,Moderate Disadvantage,6059,34.9067502888265,48.0772404687242,9.09390988611982,2.80574352203334,5.11635583429608,14.1211218229623,31.4636283961437,24.1475684740078,51.5740120562626,165156.015844199,837.124938108599,23.0698809887092,38.815990234971,21453.8408108599,2.5840989634823,0.0797562074695071
"Elliot-West End 
",High Disadvantage,2610,58.3524904214559,32.911877394636,0,5.17241379310345,3.5632183908046,18.3,30.8588064046579,18.8514357053683,85.646217986897,60200,842,26.8224299065421,19.1588785046729,28365.348,3.63984674329502,0.191254111838284
"Esplen-Sheraden
",High Disadvantage,5685,43.2717678100264,44.0105540897098,4.1688654353562,1.95250659630607,6.59630606860159,26.7421542553192,35.3723404255319,25.9233926128591,77.2438552885943,57738.1882145998,870.091468777485,19.253859348199,22.3413379073756,29629.6325920844,4.02690039751881,0.323297609906874
Fineview,Extreme Disadvantage,1060,37.6415094339623,57.8301886792453,0.283018867924528,0,4.24528301886792,23.5,43.7722419928826,38.3977900552486,85.6942496493689,69700,477,25.3311258278146,48.3443708609272,24643.672,17.7358490566038,1.18892249920899
Friendship,Low Disadvantage,1783,65.8440830061694,9.47840717891195,16.7134043746495,5.38418395961862,2.57992148065059,17.1,14.7465437788018,25.3945480631277,22.7659574468085,275400,974,7.72727272727273,28.2727272727273,31130.521,0.616937745372967,-0.569196738308934
Garfield,High Disadvantage,4027,23.9632480754904,66.227961261485,2.25974670970946,1.66376955550037,5.88527439781474,32.7961009174312,33.1422018348624,26.3016157989228,71.9324026451139,79062.1802830892,868.679413955798,22.7923627684964,27.6849642004773,21470.7630196176,2.62106495089114,0.48061948746145
"Glen Hazel-Hazelwood-Hays
",High Disadvantage,8372,44.6607740086001,49.7372193024367,2.03057811753464,2.4247491638796,1.14667940754897,39.2576219512195,37.6524390243902,47.0613656006914,79.4501951467843,83247.2527472528,591.604395604396,37.8749649565461,38.4917297448837,25646.9725934066,2.49037870872558,0.756775816606384
Greenfield,Very Low Disadvantage,8136,85.5580137659784,3.38003933136677,2.5196656833825,4.90412979351032,3.63815142576204,4.7972602739726,4.67642890883325,15.8642189123658,46.6808719881987,140946.939528024,1076.67711406096,16.3925438596491,13.5142543859649,38880.244035767,0.493840152510565,-0.920904071099083
Highland Park,Low Disadvantage,6526,74.0422923689856,16.089488201042,2.94207784247625,3.52436408213301,3.40177750536317,6.91911468812877,1.6767270288397,23.920704845815,37.9592651757188,301488.078455409,992.917866993564,15.776,12.864,32737.8067618756,1.33633175166093,-0.730089841468045
Homewood North,Extreme Disadvantage,3118,2.82232200128287,92.7196921103271,0,0.865939704939063,3.59204618345093,50.1418803418803,32.0512820512821,55.4149085794655,87.3173277661795,42423.7973059654,622.141116100064,40.4549147034931,48.8220958570268,20323.7323335471,11.309037182352,1.42031628983673
Homewood South,Extreme Disadvantage,2135,4.12177985948478,87.9625292740047,1.26463700234192,0.843091334894614,5.807962529274,41.1629885057471,37.0114942528736,33.0661322645291,84.9447513812155,62094.1451990632,455.337236533958,46.2559241706161,52.60663507109,19955.5866065574,17.2002259651509,1.35379839316069
Homewood West,Extreme Disadvantage,878,1.70842824601367,92.7107061503417,3.0751708428246,0.113895216400911,2.39179954441913,38.6,42.4242424242424,30.3030303030303,92.9508196721311,53700,508,38.9784946236559,34.1397849462366,17546.668,21.2984054669704,1.62231331673403
Knoxville,Extreme Disadvantage,3709,37.8808304125101,47.3173362092208,5.20355891075762,2.15691561067673,7.44135885683473,18.6,28.8037166085947,53.4188034188034,88.7713588283157,46400,826,21.038062283737,24.1522491349481,24304.795,11.7012671879213,0.94194276907211
Larimer,Extreme Disadvantage,1526,10.5504587155963,82.1100917431193,3.73525557011796,0,3.60419397116645,44.9455696202532,45.253164556962,58.160237388724,95.5911823647294,39345.871559633,707.842726081258,47.8336221837088,52.686308492201,18926.8284423329,10.572789001132,1.59283533363366
Lincoln-Lemington-Belmar,High Disadvantage,4906,13.0860171218916,73.542600896861,0.34651447207501,9.82470444353853,3.20016306563392,22.2690946930281,39.0218522372529,45.7251908396947,78.9681335356601,52823.6649001223,783.393192009784,31.8485523385301,42.3719376391982,21863.4069258051,5.22542510988068,0.757088333019589
Lincoln Place,Moderate Disadvantage,3381,93.2564330079858,0,0,6.7435669920142,0,6.1,6.87361419068736,39.63133640553,81.2698412698413,91400,830,23.8061797752809,8.98876404494382,39128.188,0.532386867790595,-0.390885844443368
Lower Lawrenceville,Low Disadvantage,2233,78.6833855799373,14.9574563367667,2.10479175996417,3.40349305866547,0.850873264666363,10.9,14.7668393782383,16.1849710982659,40.4290429042904,231300,1036,10.7292539815591,25.2305113160101,27630.539,1.03000447828034,-0.498088046724417
Manchester,High Disadvantage,1994,27.7331995987964,67.2016048144433,0.401203610832498,1.8555667001003,2.80842527582749,16.9,29.7968397291196,21.9847328244275,61.7686170212766,154800,692,25.5707762557078,33.7899543378995,23157.727,11.4844533600802,0.434860264969253
Marshall-Shadeland,High Disadvantage,5719,45.6373491869208,44.7455848924637,1.67861514250743,2.46546599055779,5.47298478755026,18.1533762057878,34.1907824222937,74.5523809523809,86.8070685064149,60444.0619621342,809.617900172117,19.1091026468689,19.1736604260813,25645.8055628227,2.51580389874804,0.818094961035164
Middle Hill,Extreme Disadvantage,1986,6.7472306143001,79.9597180261833,0.906344410876133,0,12.3867069486405,52.4,51.0917030567686,26.5232974910394,91.7854149203688,69700,620,41.7910447761194,50.2487562189055,20893.863,6.89828801611279,1.20491122924051
Morningside,Low Disadvantage,3139,84.8677922905384,8.53775087607518,0.987575661038547,5.2245938196878,0.382287352660093,2.4,7.51592356687898,17.6710929519918,52.6382978723404,142900,933,18.7540141297367,18.946692357097,35030.844,1.59286396941701,-0.721297927785845
Mount Washington,Moderate Disadvantage,8204,82.5938566552901,10.4217454900049,1.29205265724037,2.76694295465627,2.92540224280839,11.1630984042553,20.6781914893617,15.3846153846154,59.0040086339809,101671.977084349,961.189297903462,14.8817802503477,17.1534538711173,31522.7814679425,0.609319139133947,-0.415231913780462
